,accuracy,days_later,f1_score,name,window
0,0.5018651362984219,1.0,0.6059792302501933,SVC_rbf,1.0
1,0.5018651362984219,1.0,0.6059792302501933,SVC_normal,1.0
2,0.5110473457675753,1.0,0.568579257678077,KNN_25,1.0
3,0.5127690100430417,1.0,0.5677237452433193,KNN_50,1.0
4,0.5038737446197991,1.0,0.5913060850919363,KNN_75,1.0
5,0.4932568149210904,1.0,0.5820631530439532,KNN_100,1.0
6,0.5259684361549498,1.0,0.6121275613538977,LinDisc,1.0
7,0.5170731707317072,1.0,0.5863255043837927,Deci_Tree_3,1.0
8,0.5110473457675753,1.0,0.5902836224368958,Deci_Tree_6,1.0
9,0.5096126255380201,1.0,0.5636212386365504,Deci_Tree_9,1.0
10,0.4955523672883788,1.0,0.5344165415525123,Deci_Tree_15,1.0
11,0.49784791965566716,1.0,0.5166301340157555,Deci_Tree_normal,1.0
12,0.5153515064562411,1.0,0.6118181816437912,Log_Reg,1.0
13,0.49411764705882355,1.0,0.47440797099930804,Random_Forest_10,1.0
14,0.48522238163558107,1.0,0.49717586840480654,Random_Forest_20,1.0
15,0.49038737446197994,1.0,0.5096309659251168,Random_Forest_30,1.0
16,0.48407460545193687,1.0,0.5118933726464441,Random_Forest_50,1.0
17,0.49383070301291243,1.0,0.5378443594138906,Random_Forest_75,1.0
18,0.49698708751793397,1.0,0.5316142591595148,Random_Forest_100,1.0
19,0.4975609756097561,1.0,0.5395072600544932,Random_Forest_150,1.0
20,0.49698708751793397,1.0,0.5393468818053846,Random_Forest_200,1.0
21,0.49497847919655663,1.0,0.5472833260344434,Gradient_Boosting_100,1.0
22,0.5004304160688665,1.0,0.5493722996537677,Gradient_Boosting_120,1.0
23,0.4992826398852224,1.0,0.5436183573021609,XGB_30,1.0
24,0.5064562410329986,1.0,0.5431775226587023,XGB_50,1.0
25,0.5124820659971305,1.0,0.5478625072004821,XGB_70,1.0
26,0.5070301291248207,1.0,0.5416806796386755,XGB_100,1.0
27,0.6020114942528736,7.0,0.7288475686719542,SVC_rbf,1.0
28,0.6020114942528736,7.0,0.7288475686719542,SVC_normal,1.0
29,0.6043103448275862,7.0,0.7014201672144393,KNN_25,1.0
30,0.585632183908046,7.0,0.6971621810096356,KNN_50,1.0
31,0.5879310344827585,7.0,0.7154658985673639,KNN_75,1.0
32,0.5721264367816092,7.0,0.7077293245450618,KNN_100,1.0
